"Month","Unemployment Rate"
"1977-01",4.1
"1977-02",4.2
"1977-03",3.6
"1977-04",3.3
"1977-05",3.4
"1977-06",5.0
"1977-07",4.7
"1977-08",5.4
"1977-09",4.9
"1977-10",4.1
"1977-11",4.2
"1977-12",3.8
"1978-01",4.1
"1978-02",3.3
"1978-03",3.2
"1978-04",3.1
"1978-05",3.4
"1978-06",4.9
"1978-07",4.9
"1978-08",4.6
"1978-09",4.6
"1978-10",4.0
"1978-11",3.8
"1978-12",3.7
"1979-01",3.9
"1979-02",3.5
"1979-03",3.5
"1979-04",2.9
"1979-05",3.0
"1979-06",4.3
"1979-07",4.3
"1979-08",4.7
"1979-09",3.8
"1979-10",4.1
"1979-11",3.6
"1979-12",3.4
"1980-01",3.8
"1980-02",3.7
"1980-03",3.6
"1980-04",3.5
"1980-05",3.6
"1980-06",4.2
"1980-07",4.8
"1980-08",5.1
"1980-09",4.7
"1980-10",4.6
"1980-11",4.0
"1980-12",3.7
"1981-01",4.4
"1981-02",3.9
"1981-03",4.2
"1981-04",4.0
"1981-05",4.1
"1981-06",5.4
"1981-07",5.3
"1981-08",5.5
"1981-09",5.2
"1981-10",4.8
"1981-11",5.0
"1981-12",4.4
"1982-01",4.8
"1982-02",4.7
"1982-03",4.4
"1982-04",4.5
"1982-05",4.4
"1982-06",5.4
"1982-07",5.3
"1982-08",5.6
"1982-09",5.3
"1982-10",5.0
"1982-11",5.0
"1982-12",4.6
"1983-01",5.6
"1983-02",5.5
"1983-03",5.5
"1983-04",5.4
"1983-05",5.1
"1983-06",5.8
"1983-07",6.1
"1983-08",5.8
"1983-09",5.3
"1983-10",5.0
"1983-11",4.6
"1983-12",4.4
"1984-01",5.0
"1984-02",4.4
"1984-03",4.2
"1984-04",4.1
"1984-05",4.3
"1984-06",4.6
"1984-07",5.0
"1984-08",4.9
"1984-09",4.9
"1984-10",4.4
"1984-11",4.0
"1984-12",4.0
"1985-01",4.2
"1985-02",3.8
"1985-03",3.7
"1985-04",3.5
"1985-05",3.6
"1985-06",4.1
"1985-07",4.6
"1985-08",4.5
"1985-09",4.1
"1985-10",4.0
"1985-11",3.4
"1985-12",3.6
"1986-01",3.5
"1986-02",3.6
"1986-03",3.8
"1986-04",3.2
"1986-05",3.4
"1986-06",3.8
"1986-07",3.7
"1986-08",3.6
"1986-09",3.8
"1986-10",3.9
"1986-11",3.4
"1986-12",3.1
"1987-01",3.6
"1987-02",3.6
"1987-03",3.3
"1987-04",3.1
"1987-05",3.1
"1987-06",3.6
"1987-07",3.8
"1987-08",4.3
"1987-09",3.7
"1987-10",3.5
"1987-11",3.3
"1987-12",2.8
"1988-01",3.0
"1988-02",2.7
"1988-03",2.7
"1988-04",2.6
"1988-05",2.7
"1988-06",3.0
"1988-07",3.4
"1988-08",3.6
"1988-09",2.9
"1988-10",2.6
"1988-11",2.3
"1988-12",2.4
"1989-01",2.7
"1989-02",2.6
"1989-03",2.4
"1989-04",2.5
"1989-05",2.7
"1989-06",3.2
"1989-07",3.3
"1989-08",3.3
"1989-09",3.0
"1989-10",2.7
"1989-11",2.6
"1989-12",2.3
"1990-01",2.4
"1990-02",2.3
"1990-03",2.1
"1990-04",1.9
"1990-05",2.4
"1990-06",3.2
"1990-07",3.4
"1990-08",3.4
"1990-09",3.2
"1990-10",2.9
"1990-11",2.8
"1990-12",2.5
"1991-01",2.9
"1991-02",3.0
"1991-03",3.2
"1991-04",2.8
"1991-05",3.0
"1991-06",3.2
"1991-07",3.4
"1991-08",4.0
"1991-09",3.9
"1991-10",3.7
"1991-11",3.2
"1991-12",3.2
"1992-01",3.8
"1992-02",3.8
"1992-03",3.3
"1992-04",3.1
"1992-05",3.3
"1992-06",3.9
"1992-07",4.0
"1992-08",4.1
"1992-09",3.9
"1992-10",3.1
"1992-11",3.7
"1992-12",3.2
"1993-01",3.6
"1993-02",3.6
"1993-03",3.2
"1993-04",2.9
"1993-05",2.9
"1993-06",3.8
"1993-07",4.0
"1993-08",3.9
"1993-09",3.1
"1993-10",3.2
"1993-11",2.9
"1993-12",2.8
"1994-01",3.8
"1994-02",3.2
"1994-03",3.6
"1994-04",3.0
"1994-05",3.0
"1994-06",4.3
"1994-07",4.0
"1994-08",4.4
"1994-09",3.5
"1994-10",3.1
"1994-11",2.4
"1994-12",2.8
"1995-01",3.2
"1995-02",2.8
"1995-03",2.6
"1995-04",2.6
"1995-05",2.4
"1995-06",3.7
"1995-07",3.3
"1995-08",3.8
"1995-09",2.9
"1995-10",2.8
"1995-11",2.7
"1995-12",2.4
"1996-01",2.9
"1996-02",2.8
"1996-03",2.5
"1996-04",2.5
"1996-05",2.7
"1996-06",3.4
"1996-07",3.7
"1996-08",3.5
"1996-09",3.0
"1996-10",2.8
"1996-11",2.6
"1996-12",2.7
"1997-01",3.0
"1997-02",2.8
"1997-03",2.5
"1997-04",2.1
"1997-05",2.1
"1997-06",3.4
"1997-07",3.4
"1997-08",3.3
"1997-09",2.7
"1997-10",2.3
"1997-11",2.1
"1997-12",1.9
"1998-01",2.5
"1998-02",2.2
"1998-03",2.5
"1998-04",1.7
"1998-05",2.0
"1998-06",2.5
"1998-07",3.1
"1998-08",2.8
"1998-09",2.4
"1998-10",2.1
"1998-11",1.8
"1998-12",1.7
"1999-01",2.2
"1999-02",2.2
"1999-03",1.9
"1999-04",2.0
"1999-05",2.3
"1999-06",2.8
"1999-07",2.9
"1999-08",2.6
"1999-09",2.1
"1999-10",1.9
"1999-11",1.7
"1999-12",1.7
"2000-01",2.1
"2000-02",2.0
"2000-03",1.5
"2000-04",1.3
"2000-05",1.9
"2000-06",3.1
"2000-07",2.9
"2000-08",3.1
"2000-09",2.1
"2000-10",2.0
"2000-11",1.9
"2000-12",1.8
"2001-01",2.3
"2001-02",1.5
"2001-03",1.8
"2001-04",1.9
"2001-05",1.8
"2001-06",2.7
"2001-07",2.8
"2001-08",2.8
"2001-09",2.2
"2001-10",2.2
"2001-11",2.1
"2001-12",2.1
"2002-01",2.4
"2002-02",2.5
"2002-03",2.4
"2002-04",2.2
"2002-05",2.3
"2002-06",2.8
"2002-07",3.2
"2002-08",3.0
"2002-09",2.6
"2002-10",2.5
"2002-11",2.3
"2002-12",2.2
"2003-01",2.8
"2003-02",2.4
"2003-03",2.6
"2003-04",2.2
"2003-05",2.4
"2003-06",3.5
"2003-07",3.8
"2003-08",3.7
"2003-09",2.7
"2003-10",2.4
"2003-11",2.7
"2003-12",2.5
"2004-01",2.5
"2004-02",2.4
"2004-03",2.6
"2004-04",2.1
"2004-05",2.3
"2004-06",2.8
"2004-07",3.7
"2004-08",3.3
"2004-09",2.7
"2004-10",2.7
"2004-11",2.4
"2004-12",2.4
"2005-01",2.6
"2005-02",2.3
"2005-03",2.2
"2005-04",2.3
"2005-05",2.1
"2005-06",3.2
"2005-07",3.3
"2005-08",3.2
"2005-09",2.7
"2005-10",2.4
"2005-11",2.4
"2005-12",1.9
"2006-01",2.2
"2006-02",2.3
"2006-03",2.2
"2006-04",2.0
"2006-05",2.1
"2006-06",2.8
"2006-07",3.2
"2006-08",2.9
"2006-09",1.9
"2006-10",2.0
"2006-11",1.9
"2006-12",1.9
"2007-01",2.2
"2007-02",1.9
"2007-03",1.9
"2007-04",1.9
"2007-05",1.9
"2007-06",2.7
"2007-07",3.3
"2007-08",3.2
"2007-09",2.4
"2007-10",2.3
"2007-11",2.2
"2007-12",2.1
"2008-01",2.2
"2008-02",1.7
"2008-03",1.9
"2008-04",1.7
"2008-05",2.1
"2008-06",3.0
"2008-07",3.6
"2008-08",3.3
"2008-09",2.6
"2008-10",2.5
"2008-11",2.4
"2008-12",2.3
"2009-01",3.0
"2009-02",2.6
"2009-03",2.8
"2009-04",2.6
"2009-05",3.1
"2009-06",4.4
"2009-07",5.1
"2009-08",5.1
"2009-09",4.2
"2009-10",3.5
"2009-11",3.4
"2009-12",3.6
"2010-01",4.3
"2010-02",4.0
"2010-03",3.9
"2010-04",3.4
"2010-05",3.4
"2010-06",4.4
"2010-07",5.5
"2010-08",6.0
"2010-09",5.0
"2010-10",4.3
"2010-11",4.4
"2010-12",4.4
"2011-01",5.0
"2011-02",4.2
"2011-03",4.0
"2011-04",3.5
"2011-05",3.9
"2011-06",5.8
"2011-07",6.4
"2011-08",6.0
"2011-09",4.7
"2011-10",4.3
"2011-11",4.5
"2011-12",4.1
"2012-01",4.2
"2012-02",3.9
"2012-03",3.7
"2012-04",3.7
"2012-05",4.2
"2012-06",5.2
"2012-07",5.7
"2012-08",5.1
"2012-09",4.3
"2012-10",4.2
"2012-11",3.8
"2012-12",4.0
"2013-01",4.2
"2013-02",3.8
"2013-03",3.6
"2013-04",3.3
"2013-05",3.8
"2013-06",5.2
"2013-07",5.3
"2013-08",4.6
"2013-09",3.9
"2013-10",4.4
"2013-11",3.2
"2013-12",3.0
"2014-01",3.4
"2014-02",3.2
"2014-03",3.2
"2014-04",2.7
"2014-05",3.0
"2014-06",3.6
"2014-07",4.6
"2014-08",3.9
"2014-09",3.0
"2014-10",2.7
"2014-11",3.0
"2014-12",2.8
"2015-01",2.8
"2015-02",2.4
"2015-03",2.4
"2015-04",2.4
"2015-05",2.3
"2015-06",3.3
"2015-07",4.2
"2015-08",3.7
"2015-09",2.3
"2015-10",2.4
"2015-11",2.2
"2015-12",2.1
"2016-01",2.4
"2016-02",2.7
"2016-03",3.0
"2016-04",2.3
"2016-05",2.1
"2016-06",3.6
"2016-07",4.4
"2016-08",3.7
"2016-09",2.5
"2016-10",2.2
"2016-11",2.1
"2016-12",1.9
"2017-01",2.2
"2017-02",2.1
"2017-03",1.8
"2017-04",1.8
"2017-05",2.2
"2017-06",3.3
"2017-07",4.1
"2017-08",3.6
"2017-09",2.1
"2017-10",2.2
"2017-11",2.0
"2017-12",2.2


